Movie_Title,Start_Year,Score,Adjusted_Score,Consensus,Synopsis,Director,Cast_Names
The French Connection,1971,96,107.252,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler.... [More]",William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco"
Furious 7,2015,81,94.586,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.","After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew... [More]",James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez"
La Femme Nikita,1990,89,92.388,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a... [More]",Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tchéky Karyo, Jeanne Moreau"
Supercop,1992,93,97.607,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.","To infiltrate a drug cartel, police Inspector Chan Ka Kui (Jackie Chan) goes undercover in a Chinese prison. There, he... [More]",Stanley Tong,"Jackie Chan, Michelle Yeoh, Maggie Cheung, Kenneth Tsang"
Dirty Harry,1971,89,95.114,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.",Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he... [More],Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch"
Edge of Tomorrow,2014,91,107.209,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.","When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj.... [More]",Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton"
X2,2003,85,93.755,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.","Stryker (Brian Cox), a villianous former Army commander, holds the key to Wolverine's (Hugh Jackman) past and the future of... [More]",Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry"
The Fugitive,1993,96,103.892,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.","Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her... [More]",Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
Black Panther,2018,96,125.943,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place... [More]",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
Inception,2010,87,102.434,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.",Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from... [More],Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy"
Braveheart,1995,76,85.809,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.",Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against... [More],Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack"
Minority Report,2002,89,98.008,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.","Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in... [More]",Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
Avengers: Endgame,2019,94,123.854,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply... [More]",Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Dredd,2012,80,87.698,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.","Mega City One is a vast, violent metropolis where felons rule the streets. The only law lies with cops called... [More]",Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris"
The Bourne Identity,2002,84,90.467,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.","The story of a man (Matt Damon), salvaged, near death, from the ocean by an Italian fishing boat. When he... [More]",Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen"
Ip Man,2008,86,86.3,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.","The life story of Yip Man, the first person to teach the Chinese martial art of Wing Chun.... [More]",Wilson Yip,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam"
Face/Off,1997,92,98.14,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.","Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who... [More]",John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
To Live and Die in L.A.,1985,88,92.491,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.","When his longtime partner on the force is killed, reckless U.S. Secret Service agent Richard Chance (William L. Petersen) vows... [More]",William Friedkin,"William Petersen, Willem Dafoe, John Pankow, Debra Feuer"
The Dark Knight,2008,94,108.508,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has... [More]",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Mission: Impossible - Ghost Protocol,2011,93,103.135,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.","Blamed for a terrorist attack on the Kremlin, Ethan Hunt (Tom Cruise) and the entire IMF agency are disavowed by... [More]",Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
Fast Five,2011,78,86.154,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.",Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of... [More],Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson"
Lethal Weapon,1987,80,84.777,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.","Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he... [More]",Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitch Ryan"
The Rock,1996,67,71.687,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.","FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John... [More]",Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"
RoboCop,1987,92,99.717,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the... [More]",Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Dan O'Herlihy"
John Wick: Chapter 2,2017,89,104.53,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.",Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows... [More],Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio"
Casino Royale,2006,94,105.111,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.","After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers... [More]",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
Baby Driver,2017,92,114.084,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.",Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the... [More],Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"
Fist of Legend,1994,100,86.464,No consensus yet.,"Chinese martial arts student Chen Zhen (Jet Li) is studying in Kyoto, Japan, when he learns his mentor has died... [More]",Gordon Chan,"Jet Li, Chin Siu Ho, Billy Chow Bei-Lei, Yasuaki Kurata"
The Killer,1989,95,98.419,The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.,"Mob assassin Jeffrey (Chow Yun-Fat) is no ordinary hired gun; the best in his business, he views his chosen profession... [More]",John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang"
The Raid 2,2014,82,89.936,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.","After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal... [More]",Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
Enter the Dragon,1973,89,97.066,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and a fitting (if untimely) Bruce Lee swan song.",Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death... [More],Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri"
Commando,1985,67,69.891,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.","Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is... [More]",Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells"
First Blood,1982,86,90.688,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.",Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old... [More],Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
Mission: Impossible Rogue Nation,2015,94,110.026,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the... [More]",Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson"
The Terminator,1984,100,106.023,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.","Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill... [More]",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Gladiator,2000,80,90.562,"While not everyone will be entertained by Gladiator's glum revenge story, Russell Crowe thunderously wins the crowd with a star-making turn that provides Ridley Scott's opulent resurrection of Rome its bruised heart.","Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor... [More]",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Kill Bill: Vol. 1,2003,85,93.4,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,"A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover... [More]",Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen"
The Professional,1994,74,78.706,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,"Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive... [More]",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Speed,1994,95,100.484,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.",Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt... [More],Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
Drunken Master II,1994,84,89.917,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,"From a land where honor and tradition reign, comes the legend of a martial-arts hero unlike any other -- the... [More]",Chia-Liang Liu,"Jackie Chan, Ti Lung, Anita Mui, Chia-Liang Liu"
John Wick,2014,86,96.439,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden... [More],Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
"Crouching Tiger, Hidden Dragon",2000,98,104.633,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.","In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)... [More]",Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen"
Predator,1987,80,85.302,"Predator: Part sci-fi, part horror, part action -- all muscle.","Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians... [More]",John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo"
The Bourne Ultimatum,2007,92,102.848,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.",Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa... [More],Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn"
Total Recall,1990,82,88.224,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.",Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars.... [More],Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Mad Max 2: The Road Warrior,1981,93,98.246,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.","After avenging the death of his wife and young son at the hands of a vicious gang leader, Max (Mel... [More]",George Miller,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells"
Heat,1995,89,96.17,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while... [More]",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Raid: Redemption,2011,87,93.57,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.","A rookie member of an elite team of commandos, Rama (Iko Uwais) is instructed to hang back while his comrades-in-arms... [More]",Gareth Evans,"Iko Uwais, Joe Taslim, Donny Alamsyah, Yayan Ruhian"
Mission: Impossible - Fallout,2018,97,121.756,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions.... [More],Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Raiders of the Lost Ark,1981,93,108.261,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.","Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the... [More]",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
Aliens,1986,98,106.6,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.","After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team.... [More]",James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Hard-Boiled,1992,92,98.245,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.",A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In... [More],John Woo,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai"
The Matrix,1999,83,93.695,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects. ","Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can... [More]",Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Terminator 2: Judgment Day,1991,91,98.585,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.","In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over... [More]",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Die Hard,1988,94,101.769,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) on Christmas Eve. He joins... [More],John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson"
Mad Max: Fury Road,2015,97,118.788,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.","Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When... [More]",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne"
